Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,C100nf,C_0402_1005Metric,78.260000,-50.800000,180.000000,top
C2,C100nf,C_0402_1005Metric,78.260000,-53.340000,180.000000,top
C3,C100nf,C_0402_1005Metric,78.260000,-55.880000,180.000000,top
C4,C100nf,C_0402_1005Metric,90.960000,-57.150000,0.000000,top
C5,C100nf,C_0402_1005Metric,90.960000,-54.610000,0.000000,top
C6,C100nf,C_0402_1005Metric,90.960000,-52.070000,0.000000,top
C7,C100nf,C_0402_1005Metric,90.960000,-36.830000,0.000000,top
C8,C100nf,C_0402_1005Metric,90.960000,-34.290000,0.000000,top
D1,LED_0805_G,LED_0805_2012Metric,62.230000,-77.000000,0.000000,top
D2,SS34,D_SMA,90.170000,-77.470000,-90.000000,top
D3,LED_0805_R,LED_0805_2012Metric,56.000000,-77.000000,0.000000,top
Q1,S8050_NPN,SOT-23,64.770000,-82.230000,0.000000,top
Q2,S8050_NPN,SOT-23,64.467500,-71.755000,0.000000,top
Q3,S8050_NPN,SOT-23,55.067500,-71.755000,0.000000,top
Q4,S8050_NPN,SOT-23,54.942500,-82.230000,0.000000,top
R1,R33,R_0805_2012Metric,60.960000,-82.192500,-90.000000,top
R2,R10K,R_0402_1005Metric,60.960000,-71.755000,-90.000000,top
R3,R10K,R_0402_1005Metric,58.420000,-71.755000,-90.000000,top
R4,R33,R_0805_2012Metric,58.420000,-82.192500,-90.000000,top
R5,R10K,R_0402_1005Metric,72.900000,-58.420000,0.000000,top
RN1,4_DIP_R4.7K,RES-ARRAY-SMD_0603-8P-L3.2-W1.6-BL,85.100000,-46.190000,90.000000,top
RN2,4_DIP_R4.7K,RES-ARRAY-SMD_0603-8P-L3.2-W1.6-BL,85.090000,-41.910000,-90.000000,top
U1,74HC14,SOIC-14_3.9x8.7mm_P1.27mm,85.155000,-54.610000,0.000000,top
U2,74HC14,SOIC-14_3.9x8.7mm_P1.27mm,85.090000,-33.020000,180.000000,top
